train_scope,ship_type,scenario,feature_set,model,split,actual_label,pred_efficient,pred_medium,pred_inefficient
unified_model,Chemical tanker,unified_model,operational_no_emission,hist_gradient_boosting,holdout_2022,efficient,382,70,27
unified_model,Chemical tanker,unified_model,operational_no_emission,hist_gradient_boosting,holdout_2022,medium,126,241,111
unified_model,Chemical tanker,unified_model,operational_no_emission,hist_gradient_boosting,holdout_2022,inefficient,39,127,312
unified_model,Chemical tanker,unified_model,operational_no_emission,hist_gradient_boosting,test_2023,efficient,392,43,17
unified_model,Chemical tanker,unified_model,operational_no_emission,hist_gradient_boosting,test_2023,medium,155,244,52
unified_model,Chemical tanker,unified_model,operational_no_emission,hist_gradient_boosting,test_2023,inefficient,54,243,154
unified_model,General cargo ship,unified_model,operational_no_emission,hist_gradient_boosting,holdout_2022,efficient,291,88,24
unified_model,General cargo ship,unified_model,operational_no_emission,hist_gradient_boosting,holdout_2022,medium,68,195,140
unified_model,General cargo ship,unified_model,operational_no_emission,hist_gradient_boosting,holdout_2022,inefficient,36,41,326
unified_model,General cargo ship,unified_model,operational_no_emission,hist_gradient_boosting,test_2023,efficient,284,97,19
unified_model,General cargo ship,unified_model,operational_no_emission,hist_gradient_boosting,test_2023,medium,92,132,176
unified_model,General cargo ship,unified_model,operational_no_emission,hist_gradient_boosting,test_2023,inefficient,31,56,313
ship_type_model,Bulk carrier,ship_type_model,operational_no_emission,hist_gradient_boosting,holdout_2022,efficient,890,339,128
ship_type_model,Bulk carrier,ship_type_model,operational_no_emission,hist_gradient_boosting,holdout_2022,medium,270,683,404
ship_type_model,Bulk carrier,ship_type_model,operational_no_emission,hist_gradient_boosting,holdout_2022,inefficient,111,249,997
ship_type_model,Bulk carrier,ship_type_model,operational_no_emission,hist_gradient_boosting,test_2023,efficient,829,323,72
ship_type_model,Bulk carrier,ship_type_model,operational_no_emission,hist_gradient_boosting,test_2023,medium,311,732,180
ship_type_model,Bulk carrier,ship_type_model,operational_no_emission,hist_gradient_boosting,test_2023,inefficient,108,527,588
ship_type_model,Oil tanker,ship_type_model,operational_no_emission,hist_gradient_boosting,holdout_2022,efficient,561,84,24
ship_type_model,Oil tanker,ship_type_model,operational_no_emission,hist_gradient_boosting,holdout_2022,medium,78,410,180
ship_type_model,Oil tanker,ship_type_model,operational_no_emission,hist_gradient_boosting,holdout_2022,inefficient,24,122,522
ship_type_model,Oil tanker,ship_type_model,operational_no_emission,hist_gradient_boosting,test_2023,efficient,547,77,17
ship_type_model,Oil tanker,ship_type_model,operational_no_emission,hist_gradient_boosting,test_2023,medium,121,412,107
