ship_type,reporting_year,report_scope,temporal_split,imo_number,ship_name,technical_efficiency_type,technical_efficiency_value,total_fuel_consumption_mt,fuel_per_distance_kg_nm,total_co2_emissions_mt,co2_per_distance_kg_nm,time_spent_at_sea_hours,efficiency_label_distance,distance_efficiency_rank_pct,isolation_score,isolation_rank_pct_ship_type,lof_score,lof_rank_pct_ship_type,predicted_co2_per_distance_kg_nm,residual_signed_log,residual_abs_z,residual_rank_pct_ship_type,consensus_score,consensus_rank_pct_global,method_flags_count,isolation_top2pct,lof_top2pct,residual_top2pct,dominant_deviation_fields,screening_explanation
Oil tanker,2022,annual_er,validation,9251652,SEALING,EIV,8.13,674,11929.2,2160.84,38244.96,8.2,inefficient,1.000000,0.689319,0.995794,2.688782,0.997071,3107.412663,2.509926,374.304779,0.999775,0.997546,0.999651,3,true,true,true,co2_per_distance_kg_nm:high:z=13.20; fuel_per_distance_kg_nm:high:z=13.19; time_spent_at_sea_hours:low:z=6.56,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=13.20; fuel_per_distance_kg_nm:high:z=13.19; time_spent_at_sea_hours:low:z=6.56
Bulk carrier,2024,full_er,external_2024,9724740,SKYWALKER,EEXI,3.95,2.56,638.4,8.20736,2046.72,82.82,inefficient,0.998760,0.726645,0.999404,2.127653,0.995513,1265.079426,0.480802,58.728753,0.997498,0.997472,0.999628,3,true,true,true,total_co2_emissions_mt:low:z=8.70; total_fuel_consumption_mt:low:z=8.43; co2_per_distance_kg_nm:high:z=8.17,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=8.70; total_fuel_consumption_mt:low:z=8.43; co2_per_distance_kg_nm:high:z=8.17
Container ship,2023,annual_er,test,9775751,VAYENGA MAERSK,EEDI,12.1,357.34,5.41,1141.22,17.27,5279.19,efficient,0.001560,0.653929,0.992955,4.955295,0.999541,89.282210,-1.597680,186.617405,0.999617,0.997371,0.999616,3,true,true,true,co2_per_distance_kg_nm:low:z=5.08; fuel_per_distance_kg_nm:low:z=4.95; total_fuel_consumption_mt:low:z=2.79,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=5.08; fuel_per_distance_kg_nm:low:z=4.95; total_fuel_consumption_mt:low:z=2.79
Bulk carrier,2024,full_er,external_2024,9336000,SEVA,EEXI,3.9,573.31,12198.09,1791.40743,38115.05,29.4,inefficient,0.999752,0.662074,0.993885,2.940547,0.998173,1698.396102,3.110362,379.308789,0.999762,0.997273,0.999604,3,true,true,true,fuel_per_distance_kg_nm:high:z=20.27; co2_per_distance_kg_nm:high:z=20.17; time_spent_at_sea_hours:low:z=5.45,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=20.27; co2_per_distance_kg_nm:high:z=20.17; time_spent_at_sea_hours:low:z=5.45
Ro-pax ship,2023,annual_er,test,7911533,MOBY DADA,EEXI,24.1,2038.93,12282.71,6535.53,39370.66,30.6,inefficient,0.997512,0.688523,0.993905,3.915244,0.998566,4135.942427,2.253089,186.561698,0.999283,0.997251,0.999593,3,true,true,true,time_spent_at_sea_hours:low:z=12.05; co2_per_distance_kg_nm:high:z=11.38; fuel_per_distance_kg_nm:high:z=11.33,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=12.05; co2_per_distance_kg_nm:high:z=11.38; fuel_per_distance_kg_nm:high:z=11.33
Bulk carrier,2018,annual_er,train,9497438,VEGA MARS,EIV,7.05,147.32,7.69,463.5403,24.2,2141.16,efficient,0.000287,0.662392,0.993964,3.046212,0.998213,93.593296,-1.322743,161.148429,0.999523,0.997234,0.999581,3,true,true,true,co2_per_distance_kg_nm:low:z=9.89; fuel_per_distance_kg_nm:low:z=9.65; total_fuel_consumption_mt:low:z=3.04,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=9.89; fuel_per_distance_kg_nm:low:z=9.65; total_fuel_consumption_mt:low:z=3.04
Container/ro-ro cargo ship,2018,annual_er,train,9186194,NORSTREAM,EIV,18.98,29282.02,420.58,92290.8226,1325.58,4187.33,inefficient,1.000000,0.681591,0.993724,4.025508,1.000000,617.945597,0.762342,56.970447,0.997908,0.997211,0.999569,3,true,true,true,co2_per_distance_kg_nm:high:z=5.39; fuel_per_distance_kg_nm:high:z=5.37; technical_efficiency_value:high:z=3.32,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=5.39; fuel_per_distance_kg_nm:high:z=5.37; technical_efficiency_value:high:z=3.32
Bulk carrier,2023,annual_er,test,9392729,VEGA STETIND,EEXI,4.2,1.12,149.33,3.49,465.33,2.2,inefficient,0.949864,0.703167,0.998650,2.925872,0.998134,558.288706,-0.181772,22.048263,0.994758,0.997181,0.999558,3,true,true,true,total_co2_emissions_mt:low:z=9.73; total_fuel_consumption_mt:low:z=9.18; time_spent_at_sea_hours:low:z=8.71,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=9.73; total_fuel_consumption_mt:low:z=9.18; time_spent_at_sea_hours:low:z=8.71
Oil tanker,2023,annual_er,test,9173032,LEOPOLD,EEXI,14.3,144.72,15.83,463.97,50.76,3834.57,efficient,0.000521,0.690092,0.995869,2.674611,0.996995,108.225277,-0.746795,111.257097,0.998498,0.997121,0.999546,3,true,true,true,co2_per_distance_kg_nm:low:z=6.10; fuel_per_distance_kg_nm:low:z=6.08; total_fuel_consumption_mt:low:z=3.68,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=6.10; fuel_per_distance_kg_nm:low:z=6.08; total_fuel_consumption_mt:low:z=3.68
Ro-pax ship,2023,annual_er,test,9769219,BASTØ VI,EIV,42.7,215.06,4.58,689.49,14.7,4307.54,efficient,0.004975,0.698916,0.996773,2.643091,0.996056,46.790792,-1.113172,92.211491,0.998207,0.997012,0.999535,3,true,true,true,co2_per_distance_kg_nm:low:z=8.91; fuel_per_distance_kg_nm:low:z=8.64; total_co2_emissions_mt:low:z=5.03,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=8.91; fuel_per_distance_kg_nm:low:z=8.64; total_co2_emissions_mt:low:z=5.03
Bulk carrier,2024,full_er,external_2024,9712204,TIGER HEBEI,EEDI,3.83,3.38,24.56,10.53452,76.53,12.38,efficient,0.000496,0.745720,0.999881,3.577670,0.998848,84.702293,-0.100215,12.105251,0.992177,0.996969,0.999523,3,true,true,true,total_co2_emissions_mt:low:z=8.37; total_fuel_consumption_mt:low:z=8.13; time_spent_at_sea_hours:low:z=6.64,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=8.37; total_fuel_consumption_mt:low:z=8.13; time_spent_at_sea_hours:low:z=6.64
Oil tanker,2024,full_er,external_2024,9251652,SEALING,EIV,8.13,984.1,7289.63,3155.0246,23370.55,23.9,inefficient,0.999012,0.682732,0.995042,2.414694,0.996094,3107.412663,2.017407,300.872569,0.999700,0.996945,0.999511,3,true,true,true,co2_per_distance_kg_nm:high:z=11.76; fuel_per_distance_kg_nm:high:z=11.74; time_spent_at_sea_hours:low:z=5.35,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=11.76; fuel_per_distance_kg_nm:high:z=11.74; time_spent_at_sea_hours:low:z=5.35
Oil tanker,2022,annual_er,validation,9240201,PETROPORT,EIV,25.65,761.77,536.19,2437.39,1715.63,128.12,inefficient,0.997506,0.688158,0.995718,2.449382,0.996244,3662.457098,-0.758044,112.934321,0.998573,0.996845,0.999500,3,true,true,true,technical_efficiency_value:high:z=5.40; co2_per_distance_kg_nm:high:z=4.13; fuel_per_distance_kg_nm:high:z=4.09,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are technical_efficiency_value:high:z=5.40; co2_per_distance_kg_nm:high:z=4.13; fuel_per_distance_kg_nm:high:z=4.09
Container ship,2018,annual_er,train,9162681,ALASA,NOT_APPLICABLE,,3504.54,125655.79,10939.7513,392246.37,2621,inefficient,1.000000,0.641079,0.990504,18.121642,0.999923,1868.139040,5.346415,624.506824,0.999923,0.996784,0.999488,3,true,true,true,fuel_per_distance_kg_nm:high:z=9.88; co2_per_distance_kg_nm:high:z=9.88; total_co2_emissions_mt:low:z=0.44,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=9.88; co2_per_distance_kg_nm:high:z=9.88; total_co2_emissions_mt:low:z=0.44
Bulk carrier,2021,annual_er,train,9605097,PACIFIC CYPRESS,EIV,7.89,25.54,315.31,81.2,1002.47,6.7,inefficient,0.999437,0.738697,0.999603,1.823825,0.991185,3393.417367,-1.218668,148.460302,0.999404,0.996731,0.999476,3,true,true,true,time_spent_at_sea_hours:low:z=7.44; total_co2_emissions_mt:low:z=5.54; total_fuel_consumption_mt:low:z=5.53,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=7.44; total_co2_emissions_mt:low:z=5.54; total_fuel_consumption_mt:low:z=5.53
