ship_type,reporting_year,report_scope,temporal_split,imo_number,ship_name,technical_efficiency_type,technical_efficiency_value,total_fuel_consumption_mt,fuel_per_distance_kg_nm,total_co2_emissions_mt,co2_per_distance_kg_nm,time_spent_at_sea_hours,efficiency_label_distance,distance_efficiency_rank_pct,isolation_score,isolation_rank_pct_ship_type,lof_score,lof_rank_pct_ship_type,predicted_co2_per_distance_kg_nm,residual_signed_log,residual_abs_z,residual_rank_pct_ship_type,consensus_score,consensus_rank_pct_global,method_flags_count,isolation_top2pct,lof_top2pct,residual_top2pct,dominant_deviation_fields,screening_explanation
Bulk carrier,2022,annual_er,validation,9642368,ATLAS,EIV,4.24,33.4,340.82,106.42,1085.92,11.7,inefficient,0.998772,0.729439,0.999484,1.673241,0.986975,1699.935355,-0.447830,54.484440,0.997260,0.994573,0.998964,3,true,true,true,time_spent_at_sea_hours:low:z=6.71; co2_per_distance_kg_nm:high:z=5.57; fuel_per_distance_kg_nm:high:z=5.51,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=6.71; co2_per_distance_kg_nm:high:z=5.57; fuel_per_distance_kg_nm:high:z=5.51
Bulk carrier,2020,annual_er,train,8202018,IRON DESTINY,EIV,6,683.7,1600.05,2181.0862,5104.34,61.9,inefficient,0.999382,0.659271,0.993249,1.911476,0.993051,3212.033401,0.463072,56.567177,0.997379,0.994560,0.998953,3,true,true,true,co2_per_distance_kg_nm:high:z=11.92; fuel_per_distance_kg_nm:high:z=11.88; time_spent_at_sea_hours:low:z=4.39,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=11.92; fuel_per_distance_kg_nm:high:z=11.88; time_spent_at_sea_hours:low:z=4.39
Other ship types,2018,annual_er,train,9621704,PACIFIC OSPREY,,,2379.97,605.88,7630.1838,1942.44,233.45,inefficient,0.991304,0.661162,0.991781,2.181951,0.995890,1216.087700,0.467999,42.736130,0.995890,0.994521,0.998941,3,true,true,true,co2_per_distance_kg_nm:high:z=4.93; fuel_per_distance_kg_nm:high:z=4.84; time_spent_at_sea_hours:low:z=3.03,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=4.93; fuel_per_distance_kg_nm:high:z=4.84; time_spent_at_sea_hours:low:z=3.03
Vehicle carrier,2022,annual_er,validation,9491898,PATARA,EIV,21.57,7468.49,110.22,79.83,1.18,5236.8,efficient,0.004246,0.655953,0.984953,5.541026,0.999060,26.669703,-2.541013,259.092486,0.999060,0.994357,0.998929,3,true,true,true,co2_per_distance_kg_nm:low:z=32.36; total_co2_emissions_mt:low:z=6.22; total_fuel_consumption_mt:high:z=1.30,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=32.36; total_co2_emissions_mt:low:z=6.22; total_fuel_consumption_mt:high:z=1.30
General cargo ship,2022,annual_er,validation,9307358,TIMCA,EIV,29.5,11951.2,155.63,37239.68,484.94,5368.8,inefficient,0.993383,0.652777,0.992035,2.686912,0.996837,417.536183,0.149322,18.900507,0.993792,0.994221,0.998918,3,true,true,true,total_fuel_consumption_mt:high:z=2.96; total_co2_emissions_mt:high:z=2.95; co2_per_distance_kg_nm:high:z=2.33,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are total_fuel_consumption_mt:high:z=2.96; total_co2_emissions_mt:high:z=2.95; co2_per_distance_kg_nm:high:z=2.33
Vehicle carrier,2018,annual_er,train,9210438,PLATINUM RAY,NOT_APPLICABLE,,10699.86,310.12,33487.0322,970.57,2309.87,inefficient,0.997732,0.683079,0.993103,3.642193,0.994671,616.773034,0.452792,46.024345,0.994671,0.994148,0.998906,3,true,true,true,fuel_per_distance_kg_nm:high:z=7.23; co2_per_distance_kg_nm:high:z=7.06; total_co2_emissions_mt:high:z=1.80,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=7.23; co2_per_distance_kg_nm:high:z=7.06; total_co2_emissions_mt:high:z=1.80
Chemical tanker,2022,annual_er,validation,9670949,BAGHEERA,EIV,6.54,5589.19,1382.44,17607.53,4355.07,4312,inefficient,1.000000,0.630981,0.984948,3.640045,0.997805,1509.131185,1.059374,124.580638,0.999686,0.994147,0.998894,3,true,true,true,fuel_per_distance_kg_nm:high:z=9.95; co2_per_distance_kg_nm:high:z=9.91; total_fuel_consumption_mt:high:z=1.58,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=9.95; co2_per_distance_kg_nm:high:z=9.91; total_fuel_consumption_mt:high:z=1.58
Container ship,2018,annual_er,train,9302097,GLEN CANYON BRIDGE,NOT_APPLICABLE,,63.3,46.96,202.9398,150.55,138.6,efficient,0.002301,0.753535,1.000000,1.516952,0.983688,79.865752,0.628125,73.373945,0.998698,0.994129,0.998883,3,true,true,true,total_co2_emissions_mt:low:z=4.57; total_fuel_consumption_mt:low:z=4.57; time_spent_at_sea_hours:low:z=4.55,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=4.57; total_fuel_consumption_mt:low:z=4.57; time_spent_at_sea_hours:low:z=4.55
Other ship types,2018,annual_er,train,9601326,PACIFIC ORCA,,,4334.84,866.12,13897.497,2776.78,1813.08,inefficient,1.000000,0.635625,0.984247,2.334661,0.998630,947.659584,1.074357,98.072805,0.999315,0.994064,0.998871,3,true,true,true,co2_per_distance_kg_nm:high:z=5.76; fuel_per_distance_kg_nm:high:z=5.66; total_co2_emissions_mt:high:z=1.12,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=5.76; fuel_per_distance_kg_nm:high:z=5.66; total_co2_emissions_mt:high:z=1.12
Oil tanker,2021,annual_er,train,9292163,FRONT FORCE,EIV,2.62,308.25,720.06,977.73,2283.94,52.5,inefficient,0.998910,0.703764,0.997446,1.791916,0.990010,2860.043830,-0.224847,33.437067,0.994592,0.994016,0.998860,3,true,true,true,co2_per_distance_kg_nm:high:z=4.97; fuel_per_distance_kg_nm:high:z=4.95; time_spent_at_sea_hours:low:z=4.41,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=4.97; fuel_per_distance_kg_nm:high:z=4.95; time_spent_at_sea_hours:low:z=4.41
Bulk carrier,2018,annual_er,train,9557874,EAST TRADER,EIV,19.86,6307.54,168.74,19746.911,528.27,4471.98,inefficient,0.961771,0.653346,0.991621,2.181686,0.996228,606.763456,-0.138287,16.746810,0.993885,0.993911,0.998848,3,true,true,true,technical_efficiency_value:high:z=5.06; fuel_per_distance_kg_nm:high:z=2.62; co2_per_distance_kg_nm:high:z=2.61,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are technical_efficiency_value:high:z=5.06; fuel_per_distance_kg_nm:high:z=2.62; co2_per_distance_kg_nm:high:z=2.61
Ro-ro ship,2018,annual_er,train,9209453,CATHERINE,EIV,4.64,28533.32,387.08,89723.4315,1217.17,6317.17,inefficient,1.000000,0.637094,0.985849,6.330188,0.998231,640.439633,0.641390,77.648646,0.997642,0.993907,0.998836,3,true,true,true,co2_per_distance_kg_nm:high:z=4.48; fuel_per_distance_kg_nm:high:z=4.41; technical_efficiency_value:low:z=2.35,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=4.48; fuel_per_distance_kg_nm:high:z=4.41; technical_efficiency_value:low:z=2.35
Other ship types,2022,annual_er,validation,9618783,BOKA VANGUARD,EIV,10.8,14590.6,680.96,46777.46,2183.16,2105.9,inefficient,1.000000,0.656849,0.989041,2.148071,0.994521,938.874959,0.843240,76.980868,0.997945,0.993836,0.998825,3,true,true,true,co2_per_distance_kg_nm:high:z=5.20; fuel_per_distance_kg_nm:high:z=5.11; total_co2_emissions_mt:high:z=2.63,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=5.20; fuel_per_distance_kg_nm:high:z=5.11; total_co2_emissions_mt:high:z=2.63
General cargo ship,2024,full_er,external_2024,9386146,CHELSEA-4,EEXI,14.93,9.28,17.94,29.75168,57.52,50.23,efficient,0.000741,0.727947,0.999766,1.850407,0.986295,70.284806,-0.197315,24.803042,0.995315,0.993792,0.998813,3,true,true,true,total_co2_emissions_mt:low:z=6.83; total_fuel_consumption_mt:low:z=6.74; time_spent_at_sea_hours:low:z=4.72,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=6.83; total_fuel_consumption_mt:low:z=6.74; time_spent_at_sea_hours:low:z=4.72
Container/ro-ro cargo ship,2018,annual_er,train,8818764,NORRLAND,NOT_APPLICABLE,,1583.72,32.69,5077.4063,104.81,4955.82,efficient,0.012500,0.714427,0.997908,2.723786,0.987448,201.179553,-0.647511,48.399832,0.995816,0.993724,0.998801,3,true,true,true,fuel_per_distance_kg_nm:low:z=6.25; co2_per_distance_kg_nm:low:z=6.18; total_fuel_consumption_mt:low:z=2.30,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:low:z=6.25; co2_per_distance_kg_nm:low:z=6.18; total_fuel_consumption_mt:low:z=2.30
Ro-pax ship,2022,annual_er,validation,9281281,VICTORIA I,EIV,3.31,1690.21,1121.65,5328.9,3536.33,105.62,inefficient,0.997573,0.666599,0.989602,2.413930,0.994622,7155.383726,-0.704633,58.378733,0.996773,0.993666,0.998790,3,true,true,true,time_spent_at_sea_hours:low:z=9.05; co2_per_distance_kg_nm:high:z=5.14; fuel_per_distance_kg_nm:high:z=5.12,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=9.05; co2_per_distance_kg_nm:high:z=5.14; fuel_per_distance_kg_nm:high:z=5.12
LNG carrier,2021,annual_er,train,9750024,GREEN ZEEBRUGGE,EIV,24.19,1745.37,843.17,4948.21,2390.44,278.8,inefficient,1.000000,0.657812,0.992097,2.690174,0.989772,5129.330760,-0.763274,30.304799,0.999070,0.993646,0.998778,3,true,true,true,fuel_per_distance_kg_nm:high:z=3.08; technical_efficiency_value:high:z=2.96; co2_per_distance_kg_nm:high:z=2.93,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=3.08; technical_efficiency_value:high:z=2.96; co2_per_distance_kg_nm:high:z=2.93
Oil tanker,2022,annual_er,validation,9417751,LIA,EIV,5.02,205.64,20.58,656.35,65.67,792.9,efficient,0.000499,0.654018,0.990536,2.065428,0.994442,102.334511,-0.438216,65.249474,0.995944,0.993640,0.998766,3,true,true,true,co2_per_distance_kg_nm:low:z=5.36; fuel_per_distance_kg_nm:low:z=5.35; total_fuel_consumption_mt:low:z=3.23,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=5.36; fuel_per_distance_kg_nm:low:z=5.35; total_fuel_consumption_mt:low:z=3.23
Bulk carrier,2018,annual_er,train,9505833,E.R. BRANDENBURG,EIV,21.68,6143.4,170.67,19181.0556,532.88,3974.25,inefficient,0.964932,0.647706,0.989954,2.138944,0.995751,645.141869,-0.190848,23.154720,0.994957,0.993554,0.998743,3,true,true,true,technical_efficiency_value:high:z=5.38; fuel_per_distance_kg_nm:high:z=2.67; co2_per_distance_kg_nm:high:z=2.65,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are technical_efficiency_value:high:z=5.38; fuel_per_distance_kg_nm:high:z=2.67; co2_per_distance_kg_nm:high:z=2.65
Bulk carrier,2022,annual_er,validation,9703813,BEN WYVIS,EEDI,5.11,60.02,320.96,189.98,1015.94,18.8,inefficient,0.998281,0.719858,0.999246,1.603474,0.983402,1799.903824,-0.571491,69.560345,0.998015,0.993554,0.998755,3,true,true,true,time_spent_at_sea_hours:low:z=6.07; co2_per_distance_kg_nm:high:z=5.29; fuel_per_distance_kg_nm:high:z=5.26,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=6.07; co2_per_distance_kg_nm:high:z=5.29; fuel_per_distance_kg_nm:high:z=5.26
Container ship,2024,full_er,external_2024,9103350,MEDKON GEMLIK,EIV,25.97,43.37,36.73,135.71014,114.94,194.75,efficient,0.002705,0.720101,0.998928,1.571323,0.987058,93.136079,0.208331,24.338770,0.994639,0.993542,0.998732,3,true,true,true,total_co2_emissions_mt:low:z=4.99; total_fuel_consumption_mt:low:z=4.95; time_spent_at_sea_hours:low:z=4.05,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=4.99; total_fuel_consumption_mt:low:z=4.95; time_spent_at_sea_hours:low:z=4.05
Oil tanker,2024,full_er,external_2024,9916147,HERCULES SUN,EEDI,13.06,749.29,496.69,2402.22374,1592.37,168.03,inefficient,0.995062,0.652189,0.990085,1.943028,0.992939,2904.357863,-0.600705,89.475824,0.997071,0.993365,0.998720,3,true,true,true,co2_per_distance_kg_nm:high:z=3.92; fuel_per_distance_kg_nm:high:z=3.86; technical_efficiency_value:high:z=3.35,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=3.92; fuel_per_distance_kg_nm:high:z=3.86; technical_efficiency_value:high:z=3.35
General cargo ship,2021,annual_er,train,9307358,TIMCA,EIV,29.5,10611.95,177.16,33068.47,552.06,3759,inefficient,0.998386,0.649865,0.991449,2.394361,0.995549,632.795322,-0.136260,17.105286,0.993089,0.993362,0.998708,3,true,true,true,total_fuel_consumption_mt:high:z=2.80; total_co2_emissions_mt:high:z=2.79; co2_per_distance_kg_nm:high:z=2.65,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are total_fuel_consumption_mt:high:z=2.80; total_co2_emissions_mt:high:z=2.79; co2_per_distance_kg_nm:high:z=2.65
Bulk carrier,2018,annual_er,train,9224099,GEORGIA K,NOT_APPLICABLE,,142.96,24.63,448.1242,77.21,666.8,efficient,0.001437,0.711015,0.998888,1.619250,0.984196,52.254903,0.384308,46.964757,0.996823,0.993302,0.998697,3,true,true,true,co2_per_distance_kg_nm:low:z=5.24; fuel_per_distance_kg_nm:low:z=5.18; total_co2_emissions_mt:low:z=3.09,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=5.24; fuel_per_distance_kg_nm:low:z=5.18; total_co2_emissions_mt:low:z=3.09
Oil tanker,2018,annual_er,train,9823821,PROFESSOR AZIZ ALIYEV,,,789.5,40.94,2468.7518,128.02,2645.98,efficient,0.003853,0.663404,0.991737,2.050123,0.994141,109.659212,0.153512,22.974480,0.993991,0.993290,0.998685,3,true,true,true,co2_per_distance_kg_nm:low:z=3.43; fuel_per_distance_kg_nm:low:z=3.40; total_co2_emissions_mt:low:z=1.52,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=3.43; fuel_per_distance_kg_nm:low:z=3.40; total_co2_emissions_mt:low:z=1.52
Bulk carrier,2018,annual_er,train,9595046,TRABZON,EIV,5.35,6566.21,265.28,20529.6476,829.41,2556.75,inefficient,0.997700,0.628194,0.984553,2.349391,0.996982,1558.317572,-0.630084,76.703703,0.998332,0.993289,0.998673,3,true,true,true,fuel_per_distance_kg_nm:high:z=4.48; co2_per_distance_kg_nm:high:z=4.46; total_fuel_consumption_mt:high:z=2.43,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=4.48; co2_per_distance_kg_nm:high:z=4.46; total_fuel_consumption_mt:high:z=2.43
Chemical tanker,2018,annual_er,train,9334428,LS JACOBA,,,869.17,421.52,2772.1068,1344.38,221.5,inefficient,0.999245,0.706268,0.997805,1.962933,0.989756,1066.410972,0.231440,27.246903,0.992161,0.993241,0.998662,3,true,true,true,co2_per_distance_kg_nm:high:z=5.74; fuel_per_distance_kg_nm:high:z=5.70; time_spent_at_sea_hours:low:z=2.91,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=5.74; fuel_per_distance_kg_nm:high:z=5.70; time_spent_at_sea_hours:low:z=2.91
Container ship,2018,annual_er,train,9322865,ASIATIC GLORY,EIV,0.6,430.85,65.88,1344.5023,205.58,1722.9,efficient,0.026467,0.647804,0.991653,2.173468,0.995865,177.146269,0.148083,17.301261,0.992189,0.993235,0.998650,3,true,true,true,technical_efficiency_value:low:z=5.09; total_co2_emissions_mt:low:z=2.62; total_fuel_consumption_mt:low:z=2.60,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are technical_efficiency_value:low:z=5.09; total_co2_emissions_mt:low:z=2.62; total_fuel_consumption_mt:low:z=2.60
General cargo ship,2020,annual_er,train,9235359,YU CHANG,EIV,18.74,84.61,190.13,265.2401,596.05,35.3,inefficient,0.999184,0.696433,0.998829,1.679969,0.981375,1362.749847,-0.825993,104.066078,0.999414,0.993206,0.998638,3,true,true,true,time_spent_at_sea_hours:low:z=5.15; total_co2_emissions_mt:low:z=3.85; total_fuel_consumption_mt:low:z=3.83,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=5.15; total_co2_emissions_mt:low:z=3.85; total_fuel_consumption_mt:low:z=3.83
Ro-pax ship,2021,annual_er,train,7382378,GIUSEPPE SA,EIV,13.3,431.64,642.32,1378.8,2051.79,48.8,inefficient,0.997423,0.696917,0.995697,2.020686,0.991036,3135.633857,-0.423950,35.134349,0.992829,0.993188,0.998615,3,true,true,true,time_spent_at_sea_hours:low:z=10.93; total_co2_emissions_mt:low:z=4.12; total_fuel_consumption_mt:low:z=4.09,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=10.93; total_co2_emissions_mt:low:z=4.12; total_fuel_consumption_mt:low:z=4.09
Ro-pax ship,2022,annual_er,validation,7813949,EUROPEAN STAR,EIV,18.6,284,489.66,910.51,1569.84,44,inefficient,0.995146,0.704869,0.997849,1.947348,0.988526,2430.206218,-0.436777,36.196573,0.993188,0.993188,0.998627,3,true,true,true,time_spent_at_sea_hours:low:z=11.18; total_co2_emissions_mt:low:z=4.66; total_fuel_consumption_mt:low:z=4.63,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=11.18; total_co2_emissions_mt:low:z=4.66; total_fuel_consumption_mt:low:z=4.63
Bulk carrier,2021,annual_er,train,9146053,NECO K,EIV,9.03,44.9,30.13,143.95,96.61,147.7,efficient,0.004223,0.718558,0.999206,1.587933,0.982647,57.709135,0.508385,62.091468,0.997578,0.993144,0.998604,3,true,true,true,total_fuel_consumption_mt:low:z=4.74; total_co2_emissions_mt:low:z=4.72; fuel_per_distance_kg_nm:low:z=4.38,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are total_fuel_consumption_mt:low:z=4.74; total_co2_emissions_mt:low:z=4.72; fuel_per_distance_kg_nm:low:z=4.38
Bulk carrier,2018,annual_er,train,9365049,ESTESTAR,NOT_APPLICABLE,,846.06,34.94,2654.7457,109.65,4284.91,efficient,0.004886,0.664401,0.994322,1.922788,0.993249,120.582818,-0.094224,11.374861,0.991740,0.993104,0.998592,3,true,true,true,co2_per_distance_kg_nm:low:z=3.82; fuel_per_distance_kg_nm:low:z=3.79; time_spent_at_sea_hours:high:z=1.73,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=3.82; fuel_per_distance_kg_nm:low:z=3.79; time_spent_at_sea_hours:high:z=1.73
Container ship,2024,full_er,external_2024,9103386,MEDKON ISTANBUL,EIV,26.05,79.55,37.11,252.45946,117.77,329.23,efficient,0.003156,0.701664,0.998239,1.800790,0.993797,129.581623,-0.094810,11.070463,0.987211,0.993082,0.998580,3,true,true,true,total_co2_emissions_mt:low:z=4.35; total_fuel_consumption_mt:low:z=4.34; time_spent_at_sea_hours:low:z=3.28,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=4.35; total_fuel_consumption_mt:low:z=4.34; time_spent_at_sea_hours:low:z=3.28
Chemical tanker,2019,annual_er,train,9340386,SUNBEAM,EIV,11.54,508.63,282.73,1586.25,881.74,5323.5,inefficient,0.997776,0.635608,0.986830,2.385377,0.993101,1884.979739,-0.759172,89.211765,0.999268,0.993066,0.998569,3,true,true,true,fuel_per_distance_kg_nm:high:z=4.28; co2_per_distance_kg_nm:high:z=4.24; total_co2_emissions_mt:low:z=2.03,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=4.28; co2_per_distance_kg_nm:high:z=4.24; total_co2_emissions_mt:low:z=2.03
Chemical tanker,2023,annual_er,test,9585481,HERCULES SKY,EEDI,12.7,162.14,277.85,519.82,890.79,270.55,inefficient,0.998523,0.686808,0.995714,1.746585,0.985784,1514.054900,-0.529976,62.266989,0.997387,0.992962,0.998557,3,true,true,true,co2_per_distance_kg_nm:high:z=4.28; fuel_per_distance_kg_nm:high:z=4.22; total_fuel_consumption_mt:low:z=3.75,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=4.28; fuel_per_distance_kg_nm:high:z=4.22; total_fuel_consumption_mt:low:z=3.75
Chemical tanker,2021,annual_er,train,9247388,APATYTH,EIV,9.93,53.3,232.24,170.88,744.58,20,inefficient,0.999268,0.741575,0.999791,1.692988,0.983694,1072.057572,-0.364105,42.766777,0.995296,0.992927,0.998545,3,true,true,true,time_spent_at_sea_hours:low:z=5.91; total_fuel_consumption_mt:low:z=5.40; total_co2_emissions_mt:low:z=5.37,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=5.91; total_fuel_consumption_mt:low:z=5.40; total_co2_emissions_mt:low:z=5.37
Bulk carrier,2019,annual_er,train,9339478,ROYAL EPIC,EIV,5.58,107.5,477.78,334.87,1488.29,614.7,inefficient,0.998555,0.662945,0.994123,1.667063,0.986817,885.215080,0.519095,63.397225,0.997737,0.992892,0.998534,3,true,true,true,fuel_per_distance_kg_nm:high:z=6.90; co2_per_distance_kg_nm:high:z=6.86; total_co2_emissions_mt:low:z=3.51,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=6.90; co2_per_distance_kg_nm:high:z=6.86; total_co2_emissions_mt:low:z=3.51
Vehicle carrier,2024,full_er,external_2024,9473456,CITY OF ST. PETERSBURG,EEXI,24,3831.59,63.1,373.1784,6.15,4811.6,efficient,0.002079,0.647384,0.982445,4.121313,0.996552,89.965203,-2.543365,259.332143,0.999373,0.992790,0.998522,3,true,true,true,co2_per_distance_kg_nm:low:z=24.68; total_co2_emissions_mt:low:z=4.18; fuel_per_distance_kg_nm:low:z=3.26,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=24.68; total_co2_emissions_mt:low:z=4.18; fuel_per_distance_kg_nm:low:z=3.26
Refrigerated cargo carrier,2018,annual_er,train,9242089,PREMIUM DO BRASIL,,,6659.51,200.32,20825.1611,626.44,2787.08,inefficient,0.992908,0.672696,0.995025,1.983509,0.987065,493.703130,0.237690,34.444749,0.996020,0.992703,0.998510,3,true,true,true,fuel_per_distance_kg_nm:high:z=3.00; co2_per_distance_kg_nm:high:z=2.97; total_fuel_consumption_mt:high:z=1.15,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=3.00; co2_per_distance_kg_nm:high:z=2.97; total_fuel_consumption_mt:high:z=1.15
Other ship types,2019,annual_er,train,9601326,PACIFIC ORCA,NOT_APPLICABLE,,4499.06,556.47,14423.99,1784.04,7759,inefficient,0.992537,0.644996,0.988356,2.020189,0.993151,1097.773195,0.485247,44.310177,0.996575,0.992694,0.998499,3,true,true,true,co2_per_distance_kg_nm:high:z=4.74; fuel_per_distance_kg_nm:high:z=4.65; time_spent_at_sea_hours:high:z=1.58,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=4.74; fuel_per_distance_kg_nm:high:z=4.65; time_spent_at_sea_hours:high:z=1.58
Bulk carrier,2021,annual_er,train,9703825,BEN RINNES,EEDI,5.08,104,18.45,333.42,59.15,574,efficient,0.001126,0.668970,0.995076,1.717509,0.988723,50.685324,0.151668,18.602696,0.994242,0.992680,0.998487,3,true,true,true,fuel_per_distance_kg_nm:low:z=6.32; co2_per_distance_kg_nm:low:z=6.32; total_fuel_consumption_mt:low:z=3.54,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:low:z=6.32; co2_per_distance_kg_nm:low:z=6.32; total_fuel_consumption_mt:low:z=3.54
